annotation	logOR	lower	upper
GABA_0hr_specific_peaks.bed.1	2.354	1.647	3.061
GABA_1hr_specific_peaks.bed.1	2.145	1.414	2.877
GABA_6hr_specific_peaks.bed.1	2.048	1.404	2.692
NmCp_glut_0hr_specific_peaks.bed.1	2.656	1.909	3.403
NmCp_glut_1hr_specific_peaks.bed.1	2.306	1.602	3.011
NmCp_glut_6hr_specific_peaks.bed.1	2.203	1.492	2.914
NPC_0hr_specific_peaks.bed.1	1.8	1.035	2.565
NPC_1hr_specific_peaks.bed.1	1.728	0.978	2.479
NPC_6hr_specific_peaks.bed.1	1.44	0.712	2.168
NpCm_glut_0hr_specific_peaks.bed.1	1.957	1.27	2.644
NpCm_glut_1hr_specific_peaks.bed.1	1.859	1.206	2.512
NpCm_glut_6hr_specific_peaks.bed.1	1.672	1.024	2.321
