Category,Prop._SNPs,Prop._h2,Prop._h2_std_error,Enrichment,Enrichment_std_error,Enrichment_p
NmCp_glut_6v0hr_ucsc,0.00386200066128,0.0215231619755,0.0102279161714,5.57306014762,2.64834656138,0.0862791839182365
NPC_1v0hr_ucsc,0.000209355261284,0.00179409805384,0.00215767202585,8.56963442348,10.3062708461,0.4629801459462161
NpCm_glut_1v0hr_ucsc,0.00566651552156,0.0337181588305,0.0103924330831,5.95042203665,1.83400769725,0.0072904827517809
GABA_1v0hr_ucsc,0.00291503715972,0.0269134191984,0.00730437638419,9.23261616362,2.50575755435,0.0011749213703502
GABA_static_psbulk_ucsc,0.0125203840394,0.160095575005,0.0222114757266,12.7867942789,1.7740251143,3.4144188229130887e-10
GABA_6v0hr_ucsc,0.00690184576523,0.0568743880732,0.012728969869,8.24046059675,1.84428489161,0.0001282914863669
NpCm_glut_static_psbulk_ucsc,0.0215729860586,0.216505412683,0.0262900858918,10.0359501506,1.21865771481,5.503324513898985e-12
NpCm_glut_6v0hr_ucsc,0.00733766705434,0.050347737447,0.0124399034257,6.86154564852,1.69534858063,0.0005623804973151
NPC_static_psbulk_ucsc,0.0137701410078,0.142139678238,0.0233745877266,10.3223110175,1.69748354162,1.4747927192752802e-07
NmCp_glut_static_psbulk_ucsc,0.0076597520717,0.121418321765,0.0176831259487,15.8514689025,2.3085768029,1.355739443211158e-09
NPC_6v0hr_ucsc,0.000768306968494,0.00739946466178,0.00388062723178,9.63087016675,5.05088121144,0.0911089971782111
NmCp_glut_1v0hr_ucsc,0.00157637130632,0.0151021721716,0.00581159610655,9.58033942327,3.68669239491,0.0205183601779777
