term	estimate	low	high
GABA_bam_0hr_peaks.narrowPeak.1	1.968	1.268	2.668
GABA_bam_1hr_peaks.narrowPeak.1	1.874	1.172	2.576
GABA_bam_6hr_peaks.narrowPeak.1	1.914	1.233	2.595
NEFMm_CUX2p_bam_0hr_peaks.narrowPeak.1	2.534	1.801	3.267
NEFMm_CUX2p_bam_1hr_peaks.narrowPeak.1	2.007	1.209	2.804
NEFMm_CUX2p_bam_6hr_peaks.narrowPeak.1	2.195	1.446	2.944
NEFMp_CUX2m_bam_0hr_peaks.narrowPeak.1	1.658	1.072	2.243
NEFMp_CUX2m_bam_1hr_peaks.narrowPeak.1	1.597	0.985	2.21
NEFMp_CUX2m_bam_6hr_peaks.narrowPeak.1	1.696	1.111	2.28
NPC_bam_0hr_peaks.narrowPeak.1	1.614	0.858	2.369
NPC_bam_1hr_peaks.narrowPeak.1	1.7	0.966	2.435
NPC_bam_6hr_peaks.narrowPeak.1	1.741	1.043	2.438
